Round,P1,P1 Deck,P2,P2 Deck,W,L
1,_Tia93_,Delver,spartan117gottshall,WB Pestilence,2,0
1,3minem,Izzet Delver,pproteus,Stompy,2,1
1,420dragon,Kitty,Petros_MTG,WB Pestilence,0,2
1,Aliau13,Affinity,AndyCreighton,Slivers,2,1
1,BERNASTORRES,Delver,Landocards,RDW,2,1
1,Bielzito,Affinity,Mundisv,Dimir Flicker,1,2
1,chenstein9,Stompy,kanister,Affinity,0,2
1,CounterTopGarchomp,Dimir Flicker,Hellsau,Esper Familiars,1,2
1,deluxeicoff,Inside Out,kungfutrees,Dimir Exhume,0,2
1,DoubleDrain,Burn,seanhawes,Izzet Delver,2,0
1,EightSixEightSix,Dimir Alchemy,Sarusta,Dimir Flicker,0,2
1,Fat Fingers,Grixis,tarkanmag,Dimir Alchemy,0,2
1,GeneralSmallChild,Dimir Teachings,ScaughtyO,Eye Candy,2,0
1,greenprinny,Inside Out,Hrymfaxe,Stompy,0,2
1,headshot93,MBC,Jiimy,Affinity,0,2
1,hetare_ane,Murasa Tron,TMPWDobs,Dimir Flicker,2,0
1,HolyShamgar,Izzet Delver,pokerswizard,Burn,2,0
1,i_b_TRUE,Kitty,TheStoneColdNuts,Stompy,2,1
1,Ichisuka,Izzet Delver,Spokes,Elves,2,1
1,Ja2zPL,Kitty,LuckyOnline,Elves,0,2
1,Kombo11408,Stompy,PTarts2win,Affinity,1,2
1,Lafsen,Hexproof,MakingSmartPlays,Izzet Delver,1,2
1,Lager_in_the_Wild,Dimir Teachings,mlovbo,Izzet Control,1,2
1,MARI1962,Affinity,Pantaberde,Kitty,0,2
1,Mathonical,Midnight Gond,STLZACH,Dimir Exhume,2,0
1,medvedev,Burn,oyola,Delver,1,2
1,Mr_Steal_Yo_Girl,Delver,Watchwolf92,Dimir Teachings,2,0
1,pauljwinsk,MBC,Yggdresil,x,2,0
1,pinato,RUG Tron,Rindsgerd,Dimir Angler,1,2
1,redler,Izzet Delver,TaotheNinja,Dinrova Tron,2,0
1,Rico0389,Dimir Angler,Toastmachine,Eye Candy,2,0
1,Sixes,Dimir Flicker,TheMagePower,Izzet Delver,0,2
2,_Tia93_,Delver,mlovbo,Izzet Control,0,2
2,3minem,Izzet Delver,oyola,Delver,2,0
2,420dragon,Kitty,pinato,RUG Tron,0,2
2,Aliau13,Affinity,Mundisv,Dimir Flicker,0,2
2,BERNASTORRES,Delver,Petros_MTG,WB Pestilence,1,2
2,Bielzito,Affinity,Fat Fingers,Grixis,1,2
2,CounterTopGarchomp,Dimir Flicker,Spokes,Elves,2,1
2,deluxeicoff,Inside Out,AndyCreighton,Slivers,1,2
2,DoubleDrain,Burn,HolyShamgar,Izzet Delver,1,2
2,EightSixEightSix,Dimir Alchemy,Landocards,RDW,1,2
2,GeneralSmallChild,Dimir Teachings,Rindsgerd,Dimir Angler,0,2
2,greenprinny,Inside Out,ScaughtyO,Eye Candy,2,1
2,headshot93,MBC,TMPWDobs,Dimir Flicker,0,2
2,Hellsau,Esper Familiars,PTarts2win,Affinity,2,1
2,hetare_ane,Murasa Tron,kanister,Affinity,0,2
2,Hrymfaxe,Stompy,kungfutrees,Dimir Exhume,1,2
2,i_b_TRUE,Kitty,TheMagePower,Izzet Delver,2,1
2,Ichisuka,Izzet Delver,Pantaberde,Kitty,2,0
2,Ja2zPL,Kitty,medvedev,Burn,1,2
2,Jiimy,Affinity,Sarusta,Dimir Flicker,2,1
2,Kombo11408,Stompy,Toastmachine,Eye Candy,0,2
2,Lafsen,Hexproof,TheStoneColdNuts,Stompy,2,0
2,Lager_in_the_Wild,Dimir Teachings,Watchwolf92,Dimir Teachings,0,2
2,LuckyOnline,Elves,tarkanmag,Dimir Alchemy,1,2
2,MakingSmartPlays,Izzet Delver,Rico0389,Dimir Angler,0,2
2,MARI1962,Affinity,pokerswizard,Burn,2,1
2,Mathonical,Midnight Gond,pauljwinsk,MBC,2,1
