Round,P1,P1 Deck,P2,P2 Deck,W,L
2,Mr_Steal_Yo_Girl,Delver,redler,Izzet Delver,0,2
2,pproteus,Stompy,spartan117gottshall,WB Pestilence,2,0
2,seanhawes,Izzet Delver,Sixes,Dimir Flicker,0,2
2,STLZACH,Dimir Exhume,TaotheNinja,Dinrova Tron,1,2
3,_Tia93_,Delver,TheMagePower,Izzet Delver,2,0
3,3minem,Izzet Delver,Hellsau,Esper Familiars,1,2
3,Aliau13,Affinity,greenprinny,Inside Out,1,2
3,AndyCreighton,Slivers,Sixes,Dimir Flicker,0,2
3,BERNASTORRES,Delver,chenstein9,Stompy,2,0
3,Bielzito,Affinity,Kombo11408,Stompy,2,1
3,CounterTopGarchomp,Dimir Flicker,hetare_ane,Murasa Tron,2,1
3,deluxeicoff,Inside Out,TheStoneColdNuts,Stompy,2,0
3,DoubleDrain,Burn,pproteus,Stompy,1,2
3,EightSixEightSix,Dimir Alchemy,pokerswizard,Burn,0,2
3,Fat Fingers,Grixis,Lafsen,Hexproof,2,0
3,GeneralSmallChild,Dimir Teachings,Mr_Steal_Yo_Girl,Delver,1,2
3,HolyShamgar,Izzet Delver,Mathonical,Midnight Gond,0,2
3,Hrymfaxe,Stompy,LuckyOnline,Elves,1,2
3,i_b_TRUE,Kitty,Jiimy,Affinity,2,1
3,Ichisuka,Izzet Delver,Mundisv,Dimir Flicker,0,2
3,Ja2zPL,Kitty,Lager_in_the_Wild,Dimir Teachings,2,1
3,kanister,Affinity,redler,Izzet Delver,0,2
3,kungfutrees,Dimir Exhume,Rindsgerd,Dimir Angler,2,1
3,Landocards,RDW,Toastmachine,Eye Candy,1,2
3,MakingSmartPlays,Izzet Delver,pinato,RUG Tron,1,2
3,MARI1962,Affinity,pauljwinsk,MBC,1,2
3,medvedev,Burn,PTarts2win,Affinity,2,1
3,mlovbo,Izzet Control,Rico0389,Dimir Angler,2,1
3,oyola,Delver,Watchwolf92,Dimir Teachings,2,0
3,Pantaberde,Kitty,TaotheNinja,Dinrova Tron,0,2
3,Petros_MTG,WB Pestilence,tarkanmag,Dimir Alchemy,1,2
3,Sarusta,Dimir Flicker,TMPWDobs,Dimir Flicker,0,2
3,spartan117gottshall,WB Pestilence,STLZACH,Dimir Exhume,1,2
4,_Tia93_,Delver,LuckyOnline,Elves,0,2
4,3minem,Izzet Delver,TaotheNinja,Dinrova Tron,2,1
4,Aliau13,Affinity,Bielzito,Affinity,2,0
4,AndyCreighton,Slivers,TheMagePower,Izzet Delver,0,2
4,BERNASTORRES,Delver,Jiimy,Affinity,1,2
4,chenstein9,Stompy,DoubleDrain,Burn,2,1
4,CounterTopGarchomp,Dimir Flicker,Rindsgerd,Dimir Angler,0,2
4,deluxeicoff,Inside Out,Landocards,RDW,2,1
4,EightSixEightSix,Dimir Alchemy,spartan117gottshall,WB Pestilence,2,0
4,Fat Fingers,Grixis,HolyShamgar,Izzet Delver,0,2
4,GeneralSmallChild,Dimir Teachings,Sarusta,Dimir Flicker,2,1
4,greenprinny,Inside Out,Sixes,Dimir Flicker,1,2
4,Hellsau,Esper Familiars,tarkanmag,Dimir Alchemy,2,0
4,hetare_ane,Murasa Tron,pokerswizard,Burn,1,2
4,Hrymfaxe,Stompy,MakingSmartPlays,Izzet Delver,1,2
4,i_b_TRUE,Kitty,redler,Izzet Delver,2,1
4,Ichisuka,Izzet Delver,Petros_MTG,WB Pestilence,2,0
4,Ja2zPL,Kitty,Pantaberde,Kitty,2,0
4,kanister,Affinity,Toastmachine,Eye Candy,0,2
4,kungfutrees,Dimir Exhume,Mundisv,Dimir Flicker,0,2
4,Lafsen,Hexproof,STLZACH,Dimir Exhume,1,2
4,MARI1962,Affinity,Watchwolf92,Dimir Teachings,2,0
4,Mathonical,Midnight Gond,mlovbo,Izzet Control,0,2
4,medvedev,Burn,Rico0389,Dimir Angler,1,2
4,Mr_Steal_Yo_Girl,Delver,pinato,RUG Tron,2,0
4,oyola,Delver,pauljwinsk,MBC,2,1
4,pproteus,Stompy,TMPWDobs,Dimir Flicker,2,1
5,_Tia93_,Delver,chenstein9,Stompy,0,2
5,3minem,Izzet Delver,Mr_Steal_Yo_Girl,Delver,2,0
5,Aliau13,Affinity,pauljwinsk,MBC,0,2
5,AndyCreighton,Slivers,Pantaberde,Kitty,2,0
5,BERNASTORRES,Delver,TheMagePower,Izzet Delver,0,2
5,Bielzito,Affinity,Watchwolf92,Dimir Teachings,2,0
5,CounterTopGarchomp,Dimir Flicker,greenprinny,Inside Out,1,2
5,deluxeicoff,Inside Out,MakingSmartPlays,Izzet Delver,0,2
5,Fat Fingers,Grixis,Ja2zPL,Kitty,2,0
5,GeneralSmallChild,Dimir Teachings,pinato,RUG Tron,0,2
5,Hellsau,Esper Familiars,Mundisv,Dimir Flicker,2,0
5,hetare_ane,Murasa Tron,Sarusta,Dimir Flicker,2,1
5,HolyShamgar,Izzet Delver,Ichisuka,Izzet Delver,0,2
5,Hrymfaxe,Stompy,Lafsen,Hexproof,1,2
5,i_b_TRUE,Kitty,mlovbo,Izzet Control,0,2
5,Jiimy,Affinity,tarkanmag,Dimir Alchemy,1,2
5,kanister,Affinity,medvedev,Burn,2,0
5,kungfutrees,Dimir Exhume,Toastmachine,Eye Candy,2,1
5,LuckyOnline,Elves,pproteus,Stompy,1,2
5,MARI1962,Affinity,TaotheNinja,Dinrova Tron,0,2
5,Mathonical,Midnight Gond,oyola,Delver,1,2
5,Petros_MTG,WB Pestilence,TMPWDobs,Dimir Flicker,2,1
5,pokerswizard,Burn,STLZACH,Dimir Exhume,0,2
5,redler,Izzet Delver,Sixes,Dimir Flicker,2,0
5,Rico0389,Dimir Angler,Rindsgerd,Dimir Angler,0,2
6,_Tia93_,Delver,Bielzito,Affinity,2,0
6,3minem,Izzet Delver,Rindsgerd,Dimir Angler,2,0
6,Aliau13,Affinity,pokerswizard,Burn,1,2
6,AndyCreighton,Slivers,Hrymfaxe,Stompy,0,2
6,BERNASTORRES,Delver,Ja2zPL,Kitty,2,1
6,chenstein9,Stompy,Jiimy,Affinity,2,0
6,CounterTopGarchomp,Dimir Flicker,Lafsen,Hexproof,1,2
6,deluxeicoff,Inside Out,GeneralSmallChild,Dimir Teachings,2,1
6,Fat Fingers,Grixis,pinato,RUG Tron,1,2
6,greenprinny,Inside Out,pauljwinsk,MBC,2,0
6,Hellsau,Esper Familiars,mlovbo,Izzet Control,0,2
6,hetare_ane,Murasa Tron,medvedev,Burn,2,0
6,HolyShamgar,Izzet Delver,Rico0389,Dimir Angler,2,1
6,i_b_TRUE,Kitty,Ichisuka,Izzet Delver,2,1
6,kanister,Affinity,Landocards,RDW,2,1
6,kungfutrees,Dimir Exhume,tarkanmag,Dimir Alchemy,2,1
6,LuckyOnline,Elves,Petros_MTG,WB Pestilence,1,2
6,MakingSmartPlays,Izzet Delver,TaotheNinja,Dinrova Tron,0,2
6,MARI1962,Affinity,TMPWDobs,Dimir Flicker,1,2
6,Mathonical,Midnight Gond,Mr_Steal_Yo_Girl,Delver,2,1
6,Mundisv,Dimir Flicker,redler,Izzet Delver,2,0
6,oyola,Delver,pproteus,Stompy,2,1
6,Sixes,Dimir Flicker,Toastmachine,Eye Candy,2,0
6,STLZACH,Dimir Exhume,TheMagePower,Izzet Delver,1,2
7,mlovbo,Izzet Control,redler,Izzet Delver,2,1
7,3minem,Izzet Delver,oyola,Delver,2,0
7,Hellsau,Esper Familiars,kungfutrees,Dimir Exhume,2,0
7,i_b_TRUE,Kitty,Mundisv,Dimir Flicker,2,1
8,3minem,Izzet Delver,Hellsau,Esper Familiars,2,1
8,i_b_TRUE,Kitty,mlovbo,Izzet Control,0,2
9,3minem,Izzet Delver,mlovbo,Izzet Control,1,2
