player,deck,,,,,
__CH1,Affinity,,,,,
_DissonancE_,Stompy,,,,,
_Takeno_,Affinity,,,,,
420dragon,Esper Familiars,,,,,
airfarmer,Spy,,,,,
alfreditomelira,Stompy,,,,,
andersongouvea,Affinity,,,,,
Bboycott,Hexproof,,,,,
BEAFy,Izzet Control,,,,,
Bielzito,Dinrova Tron,,,,,
bigcaban2,Dinrova Tron,,,,,
Brivenix,Delver,,,,,
Brott,Murasa Tron,,,,,
Condescend,Izzet Delver,,,,,
Couldreaver,Hexproof,,,,,
crazy_alex,Affinity,,,,,
D0C70RF4U57,Dimir Angler,,,,,
darkrayne0,Eye Candy,,,,,
elevatorrider,Affinity,,,,,
Entropic_Thunder,RDW,,,,,
goyo315,Izzet Delver,,,,,
greenprinny,Inside Out,,,,,
Hellsau,Esper Familiars,,,,,
herosaine2006,Affinity,,,,,
HolyShamgar,Izzet Delver,,,,,
Hrymfaxe,Stompy,,,,,
Iltahuikaisu,Burn,,,,,
kungfutrees,Stompy,,,,,
Kzrds,Izzet Control,,,,,
m0torhead,Burn,,,,,
MakingSmartPlays,Tortured Existence,,,,,
Malkafa,Dinrova Tron,,,,,
Mandark,Dimir Alchemy,,,,,
manyasone,Delver,,,,,
Mathonical,Midnight Gond,,,,,
medvedev,Izzet Delver,,,,,
miz_yari,Monowhite,,,,,
nuninman,Izzet Delver,,,,,
pokerswizard,Delver,,,,,
pproteus,Stompy,,,,,
Pro_Yojimb0o_Pro,Izzet Burn,,,,,
qbturtle15,Dimir Alchemy,,,,,
redler,Izzet Delver,,,,,
Rindsgerd,Dimir Angler,,,,,
Russkov14,Slivers,,,,,
Sambos,Dimir Teachings,,,,,
ScaughtyO,Dimir Exhume,,,,,
Servemais,Elves,,,,,
Smashing Centaur,Red Heroic,,,,,
Spokes,Stompy,,,,,
Tabadonk,Burn,,,,,
TaotheNinja,Dinrova Tron,,,,,
tarkanmag,Dimir Flicker,,,,,
tedlyted,Dinrova Tron,,,,,
TheMagePower,Izzet Delver,,,,,
ToastMachine,Eye Candy,,,,,
TonyMontana,Affinity,,,,,
Tyrannical,RUG Tron,,,,,
varanasibaby,Murasa Tron,,,,,
vlaprohor,Stompy,,,,,
WWEHBK,Affinity,,,,,
Xto2,Izzet Control,,,,,
